Year,Province,Month,Annual
2003,KALIMANTAN TENGAH,,7.59
2003,KALIMANTAN SELATAN,,7.67
2003,KALIMANTAN TIMUR,,9.69
2003,KALIMANTAN UTARA,,
2003,SULAWESI UTARA,,10.79
2003,SULAWESI TENGAH,,4.64
2003,SULAWESI SELATAN,,17.32
2003,SULAWESI TENGGARA,,10.3
2003,GORONTALO,,10.17
2003,SULAWESI BARAT,,
2003,MALUKU,,12.63
2003,MALUKU UTARA,,7.5
2003,PAPUA BARAT,,
2003,PAPUA BARAT DAYA,,
2003,PAPUA,,6.21
2003,PAPUA SELATAN,,
2003,PAPUA TENGAH,,
2003,PAPUA PEGUNUNGAN,,
2004,ACEH,,9.35
2004,SUMATERA UTARA,,11.08
2004,SUMATERA BARAT,,12.74
2004,RIAU,,15.25
2004,JAMBI,,6.04
2004,SUMATERA SELATAN,,8.37
2004,BENGKULU,,6.29
2004,LAMPUNG,,7.38
2004,KEP. BANGKA BELITUNG,,7.14
2004,KEP. RIAU,,
2004,DKI JAKARTA,,14.7
2004,JAWA BARAT,,13.69
2004,JAWA TENGAH,,7.72
2004,DI YOGYAKARTA,,6.26
2004,JAWA TIMUR,,7.69
2004,BANTEN,,14.31
2004,BALI,,4.66
2004,NUSA TENGGARA BARAT,,7.48
2004,NUSA TENGGARA TIMUR,,4.48
2004,KALIMANTAN BARAT,,7.9
2004,KALIMANTAN TENGAH,,5.59
2004,KALIMANTAN SELATAN,,6.02
2004,KALIMANTAN TIMUR,,10.39
2004,KALIMANTAN UTARA,,
2004,SULAWESI UTARA,,10.91
2004,SULAWESI TENGAH,,5.85
2004,SULAWESI SELATAN,,15.93
2004,SULAWESI TENGGARA,,9.35
2004,GORONTALO,,12.29
2004,SULAWESI BARAT,,
2004,MALUKU,,11.67
2004,MALUKU UTARA,,7.53
2004,PAPUA BARAT,,
2004,PAPUA BARAT DAYA,,
2004,PAPUA,,8
2004,PAPUA SELATAN,,
2004,PAPUA TENGAH,,
2004,PAPUA PEGUNUNGAN,,
2005,ACEH,26.5,
2005,SUMATERA UTARA,22.88,
2005,SUMATERA BARAT,24.84,
2005,RIAU,26.07,
2005,JAMBI,19.33,
2005,SUMATERA SELATAN,21.38,
2005,BENGKULU,15.06,
2005,LAMPUNG,15.32,
2005,KEP. BANGKA BELITUNG,15.29,
2005,KEP. RIAU,,
2005,DKI JAKARTA,30.5,
2005,JAWA BARAT,30.26,
2005,JAWA TENGAH,18.05,
2005,DI YOGYAKARTA,12.64,
2005,JAWA TIMUR,16.96,
2005,BANTEN,30.82,
2005,BALI,9.35,
2005,NUSA TENGGARA BARAT,19.22,
2005,NUSA TENGGARA TIMUR,10.28,
2005,KALIMANTAN BARAT,16.74,
2005,KALIMANTAN TENGAH,9.76,
2005,KALIMANTAN SELATAN,13.52,
2005,KALIMANTAN TIMUR,20.21,
2005,KALIMANTAN UTARA,,
2005,SULAWESI UTARA,28.45,
2005,SULAWESI TENGAH,15.34,
2005,SULAWESI SELATAN,29.51,
2005,SULAWESI TENGGARA,19.85,
2005,GORONTALO,23.83,
2005,SULAWESI BARAT,,
2005,MALUKU,27.31,
2005,MALUKU UTARA,21.97,
2005,PAPUA BARAT,,
2005,PAPUA BARAT DAYA,,
2005,PAPUA,14.43,
2005,PAPUA SELATAN,,
2005,PAPUA TENGAH,,
2005,PAPUA PEGUNUNGAN,,
2006,ACEH,22.51,
2006,SUMATERA UTARA,26.33,
2006,SUMATERA BARAT,24.8,
2006,RIAU,21.7,
2006,JAMBI,14.39,
2006,SUMATERA SELATAN,21.43,
2006,BENGKULU,12.95,
2006,LAMPUNG,18.89,
2006,KEP. BANGKA BELITUNG,14.94,
2006,KEP. RIAU,22.93,
2006,DKI JAKARTA,25.71,
2006,JAWA BARAT,29.09,
2006,JAWA TENGAH,16.22,
2006,DI YOGYAKARTA,12.56,
2006,JAWA TIMUR,15.91,
2006,BANTEN,35.25,
2006,BALI,11.36,
2006,NUSA TENGGARA BARAT,17.86,
2006,NUSA TENGGARA TIMUR,8.63,
2006,KALIMANTAN BARAT,15.59,
2006,KALIMANTAN TENGAH,11.81,
2006,KALIMANTAN SELATAN,17.65,
2006,KALIMANTAN TIMUR,25.54,
2006,KALIMANTAN UTARA,,
2006,SULAWESI UTARA,28.29,
2006,SULAWESI TENGAH,19.21,
2006,SULAWESI SELATAN,25.08,
2006,SULAWESI TENGGARA,17.09,
2006,GORONTALO,17.39,
2006,SULAWESI BARAT,11.09,
2006,MALUKU,29.48,
2006,MALUKU UTARA,15.44,
2006,PAPUA BARAT,21.34,
2006,PAPUA BARAT DAYA,,
2006,PAPUA,10.33,
2006,PAPUA SELATAN,,
2006,PAPUA TENGAH,,
2006,PAPUA PEGUNUNGAN,,
2007,ACEH,20.11,
2007,SUMATERA UTARA,20.73,
2007,SUMATERA BARAT,21.33,
2007,RIAU,20.18,
2007,JAMBI,12.96,
2007,SUMATERA SELATAN,19.74,
2007,BENGKULU,9.8,
2007,LAMPUNG,15.87,
2007,KEP. BANGKA BELITUNG,13.85,
2007,KEP. RIAU,17.87,
2007,DKI JAKARTA,25.84,
2007,JAWA BARAT,27.59,
2007,JAWA TENGAH,15.8,
2007,DI YOGYAKARTA,12.18,
2007,JAWA TIMUR,14.24,
2007,BANTEN,31.86,
2007,BALI,8.66,
2007,NUSA TENGGARA BARAT,14.03,
2007,NUSA TENGGARA TIMUR,7.7,
2007,KALIMANTAN BARAT,13.55,
2007,KALIMANTAN TENGAH,10.13,
2007,KALIMANTAN SELATAN,14.93,
2007,KALIMANTAN TIMUR,24.9,
2007,KALIMANTAN UTARA,,
2007,SULAWESI UTARA,25.39,
2007,SULAWESI TENGAH,15.4,
2007,SULAWESI SELATAN,23.26,
2007,SULAWESI TENGGARA,13.33,
2007,GORONTALO,14.42,
2007,SULAWESI BARAT,9.54,
2007,MALUKU,26.57,
2007,MALUKU UTARA,14.39,
2007,PAPUA BARAT,19.64,
2007,PAPUA BARAT DAYA,,
2007,PAPUA,10.53,
2007,PAPUA SELATAN,,
2007,PAPUA TENGAH,,
2007,PAPUA PEGUNUNGAN,,
2008,ACEH,18.76,
2008,SUMATERA UTARA,18.65,
2008,SUMATERA BARAT,17.77,
2008,RIAU,17.55,
2008,JAMBI,11.05,
2008,SUMATERA SELATAN,16.53,
2008,BENGKULU,8.88,
2008,LAMPUNG,13.45,
2008,KEP. BANGKA BELITUNG,11.78,
2008,KEP. RIAU,16.5,
2008,DKI JAKARTA,23.22,
2008,JAWA BARAT,24.36,
2008,JAWA TENGAH,14.47,
2008,DI YOGYAKARTA,11.42,
2008,JAWA TIMUR,12.66,
2008,BANTEN,29.33,
2008,BALI,7.87,
2008,NUSA TENGGARA BARAT,11.33,
2008,NUSA TENGGARA TIMUR,7.43,
2008,KALIMANTAN BARAT,11.9,
2008,KALIMANTAN TENGAH,9.38,
2008,KALIMANTAN SELATAN,13.09,
2008,KALIMANTAN TIMUR,22.52,
2008,KALIMANTAN UTARA,,
2008,SULAWESI UTARA,23.0,
2008,SULAWESI TENGAH,12.7,
2008,SULAWESI SELATAN,19.53,
2008,SULAWESI TENGGARA,11.78,
2008,GORONTALO,12.69,
2008,SULAWESI BARAT,10.25,
2008,MALUKU,21.72,
2008,MALUKU UTARA,13.51,
2008,PAPUA BARAT,16.95,
2008,PAPUA BARAT DAYA,,
2008,PAPUA,9.24,
2008,PAPUA SELATAN,,
2008,PAPUA TENGAH,,
2008,PAPUA PEGUNUNGAN,,
2009,ACEH,18.02,
2009,SUMATERA UTARA,16.7,
2009,SUMATERA BARAT,15.87,
2009,RIAU,17.52,
2009,JAMBI,10.74,
2009,SUMATERA SELATAN,15.99,
2009,BENGKULU,10.39,
2009,LAMPUNG,12.8,
2009,KEP. BANGKA BELITUNG,10.96,
2009,KEP. RIAU,15.92,
2009,DKI JAKARTA,24.14,
2009,JAWA BARAT,22.81,
2009,JAWA TENGAH,14.61,
2009,DI YOGYAKARTA,12.0,
2009,JAWA TIMUR,10.95,
2009,BANTEN,29.87,
2009,BALI,6.06,
2009,NUSA TENGGARA BARAT,12.37,
2009,NUSA TENGGARA TIMUR,6.75,
2009,KALIMANTAN BARAT,11.07,
2009,KALIMANTAN TENGAH,9.15,
2009,KALIMANTAN SELATAN,13.11,
2009,KALIMANTAN TIMUR,21.92,
2009,KALIMANTAN UTARA,,
2009,SULAWESI UTARA,21.19,
2009,SULAWESI TENGAH,10.54,
2009,SULAWESI SELATAN,17.64,
2009,SULAWESI TENGGARA,10.12,
2009,GORONTALO,10.95,
2009,SULAWESI BARAT,9.43,
2009,MALUKU,20.95,
2009,MALUKU UTARA,13.37,
2009,PAPUA BARAT,15.29,
2009,PAPUA BARAT DAYA,,
2009,PAPUA,8.21,
2009,PAPUA SELATAN,,
2009,PAPUA TENGAH,,
2009,PAPUA PEGUNUNGAN,,
2010,ACEH,16.97,
2010,SUMATERA UTARA,15.44,
2010,SUMATERA BARAT,14.52,
2010,RIAU,15.93,
2010,JAMBI,9.84,
2010,SUMATERA SELATAN,13.2,
2010,BENGKULU,8.65,
2010,LAMPUNG,11.52,
2010,KEP. BANGKA BELITUNG,9.87,
2010,KEP. RIAU,14.11,
2010,DKI JAKARTA,22.37,
2010,JAWA BARAT,20.9,
2010,JAWA TENGAH,13.07,
2010,DI YOGYAKARTA,11.71,
2010,JAWA TIMUR,9.16,
2010,BANTEN,27.81,
2010,BALI,6.63,
2010,NUSA TENGGARA BARAT,11.07,
2010,NUSA TENGGARA TIMUR,6.83,
2010,KALIMANTAN BARAT,10.12,
2010,KALIMANTAN TENGAH,8.02,
2010,KALIMANTAN SELATAN,11.14,
2010,KALIMANTAN TIMUR,20.55,
2010,KALIMANTAN UTARA,,
2010,SULAWESI UTARA,20.09,
2010,SULAWESI TENGAH,9.5,
2010,SULAWESI SELATAN,16.36,
2010,SULAWESI TENGGARA,9.38,
2010,GORONTALO,10.21,
2010,SULAWESI BARAT,7.35,
2010,MALUKU,19.1,
2010,MALUKU UTARA,12.06,
2010,PAPUA BARAT,15.45,
2010,PAPUA BARAT DAYA,,
2010,PAPUA,7.63,
2010,PAPUA SELATAN,,
2010,PAPUA TENGAH,,
2010,PAPUA PEGUNUNGAN,,
2011,ACEH,17.62,
2011,SUMATERA UTARA,15.65,
2011,SUMATERA BARAT,15.53,
2011,RIAU,13.6,
2011,JAMBI,8.61,
2011,SUMATERA SELATAN,12.89,
2011,BENGKULU,6.92,
2011,LAMPUNG,11.9,
2011,KEP. BANGKA BELITUNG,7.17,
2011,KEP. RIAU,12.58,
2011,DKI JAKARTA,22.55,
2011,JAWA BARAT,19.97,
2011,JAWA TENGAH,13.25,
2011,DI YOGYAKARTA,9.93,
2011,JAWA TIMUR,9.62,
2011,BANTEN,27.36,
2011,BALI,5.95,
2011,NUSA TENGGARA BARAT,10.71,
2011,NUSA TENGGARA TIMUR,5.87,
2011,KALIMANTAN BARAT,9.83,
2011,KALIMANTAN TENGAH,7.37,
2011,KALIMANTAN SELATAN,12.03,
2011,KALIMANTAN TIMUR,22.33,
2011,KALIMANTAN UTARA,,
2011,SULAWESI UTARA,19.84,
2011,SULAWESI TENGAH,11.09,
2011,SULAWESI SELATAN,15.02,
2011,SULAWESI TENGGARA,9.14,
2011,GORONTALO,11.69,
2011,SULAWESI BARAT,6.12,
2011,MALUKU,18.99,
2011,MALUKU UTARA,11.14,
2011,PAPUA BARAT,13.55,
2011,PAPUA BARAT DAYA,,
2011,PAPUA,8.86,
2011,PAPUA SELATAN,,
2011,PAPUA TENGAH,,
2011,PAPUA PEGUNUNGAN,,
2012,ACEH,17.0,
2012,SUMATERA UTARA,12.71,
2012,SUMATERA BARAT,13.14,
2012,RIAU,9.66,
2012,JAMBI,6.89,
2012,SUMATERA SELATAN,11.26,
2012,BENGKULU,5.8,
2012,LAMPUNG,10.41,
2012,KEP. BANGKA BELITUNG,6.25,
2012,KEP. RIAU,10.79,
2012,DKI JAKARTA,20.27,
2012,JAWA BARAT,18.92,
2012,JAWA TENGAH,11.51,
2012,DI YOGYAKARTA,7.88,
2012,JAWA TIMUR,8.27,
2012,BANTEN,20.62,
2012,BALI,4.33,
2012,NUSA TENGGARA BARAT,10.46,
2012,NUSA TENGGARA TIMUR,5.57,
2012,KALIMANTAN BARAT,6.96,
2012,KALIMANTAN TENGAH,5.87,
2012,KALIMANTAN SELATAN,9.53,
2012,KALIMANTAN TIMUR,18.5,
2012,KALIMANTAN UTARA,,
2012,SULAWESI UTARA,16.53,
2012,SULAWESI TENGAH,7.7,
2012,SULAWESI SELATAN,12.57,
2012,SULAWESI TENGGARA,7.34,
2012,GORONTALO,9.39,
2012,SULAWESI BARAT,4.26,
2012,MALUKU,15.3,
2012,MALUKU UTARA,10.32,
2012,PAPUA BARAT,11.99,
2012,PAPUA BARAT DAYA,,
2012,PAPUA,6.74,
2012,PAPUA SELATAN,,
2012,PAPUA TENGAH,,
2012,PAPUA PEGUNUNGAN,,
2013,ACEH,18.46,
2013,SUMATERA UTARA,12.54,
2013,SUMATERA BARAT,13.41,
2013,RIAU,9.67,
2013,JAMBI,7.65,
2013,SUMATERA SELATAN,10.25,
2013,BENGKULU,6.71,
2013,LAMPUNG,10.76,
2013,KEP. BANGKA BELITUNG,6.87,
2013,KEP. RIAU,11.68,
2013,DKI JAKARTA,18.27,
2013,JAWA BARAT,18.04,
2013,JAWA TENGAH,11.54,
2013,DI YOGYAKARTA,6.99,
2013,JAWA TIMUR,8.27,
2013,BANTEN,19.31,
2013,BALI,3.76,
2013,NUSA TENGGARA BARAT,10.58,
2013,NUSA TENGGARA TIMUR,5.37,
2013,KALIMANTAN BARAT,7.12,
2013,KALIMANTAN TENGAH,4.81,
2013,KALIMANTAN SELATAN,7.54,
2013,KALIMANTAN TIMUR,16.89,
2013,KALIMANTAN UTARA,,
2013,SULAWESI UTARA,14.29,
2013,SULAWESI TENGAH,6.86,
2013,SULAWESI SELATAN,10.98,
2013,SULAWESI TENGGARA,7.81,
2013,GORONTALO,8.66,
2013,SULAWESI BARAT,4.37,
2013,MALUKU,16.88,
2013,MALUKU UTARA,9.3,
2013,PAPUA BARAT,8.76,
2013,PAPUA BARAT DAYA,,
2013,PAPUA,6.06,
2013,PAPUA SELATAN,,
2013,PAPUA TENGAH,,
2013,PAPUA PEGUNUNGAN,,
2014,ACEH,15.77,
2014,SUMATERA UTARA,12.18,
2014,SUMATERA BARAT,12.82,
2014,RIAU,11.55,
2014,JAMBI,7.58,
2014,SUMATERA SELATAN,8.8,
2014,BENGKULU,5.09,
2014,LAMPUNG,9.87,
2014,KEP. BANGKA BELITUNG,7.81,
2014,KEP. RIAU,11.95,
2014,DKI JAKARTA,18.31,
2014,JAWA BARAT,17.11,
2014,JAWA TENGAH,11.13,
2014,DI YOGYAKARTA,5.49,
2014,JAWA TIMUR,8.21,
2014,BANTEN,18.94,
2014,BALI,3.27,
2014,NUSA TENGGARA BARAT,11.05,
2014,NUSA TENGGARA TIMUR,5.23,
2014,KALIMANTAN BARAT,6.57,
2014,KALIMANTAN TENGAH,5.95,
2014,KALIMANTAN SELATAN,7.83,
2014,KALIMANTAN TIMUR,16.27,
2014,KALIMANTAN UTARA,,
2014,SULAWESI UTARA,14.81,
2014,SULAWESI TENGAH,6.6,
2014,SULAWESI SELATAN,10.87,
2014,SULAWESI TENGGARA,6.56,
2014,GORONTALO,6.62,
2014,SULAWESI BARAT,3.68,
2014,MALUKU,17.1,
2014,MALUKU UTARA,10.94,
2014,PAPUA BARAT,8.72,
2014,PAPUA BARAT DAYA,,
2014,PAPUA,6.92,
2014,PAPUA SELATAN,,
2014,PAPUA TENGAH,,
2014,PAPUA PEGUNUNGAN,,
2015,ACEH,17.66,
2015,SUMATERA UTARA,13.1,
2015,SUMATERA BARAT,12.88,
2015,RIAU,14.55,
2015,JAMBI,7.07,
2015,SUMATERA SELATAN,11.1,
2015,BENGKULU,8.12,
2015,LAMPUNG,8.58,
2015,KEP. BANGKA BELITUNG,9.64,
2015,KEP. RIAU,15.25,
2015,DKI JAKARTA,15.59,
2015,JAWA BARAT,17.12,
2015,JAWA TENGAH,10.3,
2015,DI YOGYAKARTA,8.14,
2015,JAWA TIMUR,8.78,
2015,BANTEN,18.13,
2015,BALI,3.36,
2015,NUSA TENGGARA BARAT,10.67,
2015,NUSA TENGGARA TIMUR,6.95,
2015,KALIMANTAN BARAT,9.93,
2015,KALIMANTAN TENGAH,7.68,
2015,KALIMANTAN SELATAN,9.75,
2015,KALIMANTAN TIMUR,14.67,
2015,KALIMANTAN UTARA,11.47,
2015,SULAWESI UTARA,17.72,
2015,SULAWESI TENGAH,7.09,
2015,SULAWESI SELATAN,11.76,
2015,SULAWESI TENGGARA,9.17,
2015,GORONTALO,7.71,
2015,SULAWESI BARAT,5.16,
2015,MALUKU,16.65,
2015,MALUKU UTARA,11.61,
2015,PAPUA BARAT,12.69,
2015,PAPUA BARAT DAYA,,
2015,PAPUA,7.71,
2015,PAPUA SELATAN,,
2015,PAPUA TENGAH,,
2015,PAPUA PEGUNUNGAN,,
2016,ACEH,15.7,
2016,SUMATERA UTARA,12.33,
2016,SUMATERA BARAT,10.9,
2016,RIAU,13.37,
2016,JAMBI,8.66,
2016,SUMATERA SELATAN,8.25,
2016,BENGKULU,7.14,
2016,LAMPUNG,9.16,
2016,KEP. BANGKA BELITUNG,8.77,
2016,KEP. RIAU,16.72,
2016,DKI JAKARTA,11.89,
2016,JAWA BARAT,17.46,
2016,JAWA TENGAH,8.83,
2016,DI YOGYAKARTA,5.53,
2016,JAWA TIMUR,8.35,
2016,BANTEN,16.87,
2016,BALI,4.01,
2016,NUSA TENGGARA BARAT,7.6,
2016,NUSA TENGGARA TIMUR,6.84,
2016,KALIMANTAN BARAT,8.81,
2016,KALIMANTAN TENGAH,8.49,
2016,KALIMANTAN SELATAN,9.08,
2016,KALIMANTAN TIMUR,16.81,
2016,KALIMANTAN UTARA,9.15,
2016,SULAWESI UTARA,14.0,
2016,SULAWESI TENGAH,6.75,
2016,SULAWESI SELATAN,9.91,
2016,SULAWESI TENGGARA,6.5,
2016,GORONTALO,6.64,
2016,SULAWESI BARAT,6.05,
2016,MALUKU,14.03,
2016,MALUKU UTARA,7.44,
2016,PAPUA BARAT,13.19,
2016,PAPUA BARAT DAYA,,
2016,PAPUA,6.32,
2016,PAPUA SELATAN,,
2016,PAPUA TENGAH,,
2016,PAPUA PEGUNUNGAN,,
2017,ACEH,13.96,
2017,SUMATERA UTARA,12.01,
2017,SUMATERA BARAT,11.38,
2017,RIAU,11.98,
2017,JAMBI,7.54,
2017,SUMATERA SELATAN,8.19,
2017,BENGKULU,6.55,
2017,LAMPUNG,8.76,
2017,KEP. BANGKA BELITUNG,8.24,
2017,KEP. RIAU,13.6,
2017,DKI JAKARTA,12.5,
2017,JAWA BARAT,16.71,
2017,JAWA TENGAH,8.72,
2017,DI YOGYAKARTA,5.86,
2017,JAWA TIMUR,8.1,
2017,BANTEN,17.03,
2017,BALI,2.76,
2017,NUSA TENGGARA BARAT,7.18,
2017,NUSA TENGGARA TIMUR,6.48,
2017,KALIMANTAN BARAT,8.58,
2017,KALIMANTAN TENGAH,7.36,
2017,KALIMANTAN SELATAN,8.3,
2017,KALIMANTAN TIMUR,15.46,
2017,KALIMANTAN UTARA,10.71,
2017,SULAWESI UTARA,13.3,
2017,SULAWESI TENGAH,6.78,
2017,SULAWESI SELATAN,10.38,
2017,SULAWESI TENGGARA,6.44,
2017,GORONTALO,7.93,
2017,SULAWESI BARAT,6.19,
2017,MALUKU,17.06,
2017,MALUKU UTARA,10.15,
2017,PAPUA BARAT,14.01,
2017,PAPUA BARAT DAYA,,
2017,PAPUA,7.58,
2017,PAPUA SELATAN,,
2017,PAPUA TENGAH,,
2017,PAPUA PEGUNUNGAN,,
2018,ACEH,12.88,
2018,SUMATERA UTARA,11.16,
2018,SUMATERA BARAT,11.34,
2018,RIAU,11.53,
2018,JAMBI,7.29,
2018,SUMATERA SELATAN,8.35,
2018,BENGKULU,5.98,
2018,LAMPUNG,8.36,
2018,KEP. BANGKA BELITUNG,7.2,
2018,KEP. RIAU,15.34,
2018,DKI JAKARTA,12.38,
2018,JAWA BARAT,16.45,
2018,JAWA TENGAH,8.66,
2018,DI YOGYAKARTA,6.37,
2018,JAWA TIMUR,7.68,
2018,BANTEN,16.19,
2018,BALI,2.28,
2018,NUSA TENGGARA BARAT,6.86,
2018,NUSA TENGGARA TIMUR,5.67,
2018,KALIMANTAN BARAT,8.27,
2018,KALIMANTAN TENGAH,7.05,
2018,KALIMANTAN SELATAN,8.07,
2018,KALIMANTAN TIMUR,13.2,
2018,KALIMANTAN UTARA,9.81,
2018,SULAWESI UTARA,12.47,
2018,SULAWESI TENGAH,6.49,
2018,SULAWESI SELATAN,9.98,
2018,SULAWESI TENGGARA,5.96,
2018,GORONTALO,7.08,
2018,SULAWESI BARAT,5.34,
2018,MALUKU,14.02,
2018,MALUKU UTARA,9.19,
2018,PAPUA BARAT,12.72,
2018,PAPUA BARAT DAYA,,
2018,PAPUA,5.75,
2018,PAPUA SELATAN,,
2018,PAPUA TENGAH,,
2018,PAPUA PEGUNUNGAN,,
2019,ACEH,11.65,
2019,SUMATERA UTARA,10.96,
2019,SUMATERA BARAT,10.76,
2019,RIAU,11.12,
2019,JAMBI,7.58,
2019,SUMATERA SELATAN,8.55,
2019,BENGKULU,5.67,
2019,LAMPUNG,7.98,
2019,KEP. BANGKA BELITUNG,6.9,
2019,KEP. RIAU,14.52,
2019,DKI JAKARTA,12.04,
2019,JAWA BARAT,15.82,
2019,JAWA TENGAH,8.63,
2019,DI YOGYAKARTA,6.07,
2019,JAWA TIMUR,7.59,
2019,BANTEN,15.66,
2019,BALI,2.79,
2019,NUSA TENGGARA BARAT,6.43,
2019,NUSA TENGGARA TIMUR,6.12,
2019,KALIMANTAN BARAT,8.41,
2019,KALIMANTAN TENGAH,7.25,
2019,KALIMANTAN SELATAN,7.59,
2019,KALIMANTAN TIMUR,12.59,
2019,KALIMANTAN UTARA,10.33,
2019,SULAWESI UTARA,11.18,
2019,SULAWESI TENGAH,6.57,
2019,SULAWESI SELATAN,9.72,
2019,SULAWESI TENGGARA,6.4,
2019,GORONTALO,7.01,
2019,SULAWESI BARAT,4.27,
2019,MALUKU,13.3,
2019,MALUKU UTARA,9.77,
2019,PAPUA BARAT,12.24,
2019,PAPUA BARAT DAYA,,
2019,PAPUA,6.73,
2019,PAPUA SELATAN,,
2019,PAPUA TENGAH,,
2019,PAPUA PEGUNUNGAN,,
2020,ACEH,11.99,
2020,SUMATERA UTARA,11.62,
2020,SUMATERA BARAT,12.13,
2020,RIAU,11.24,
2020,JAMBI,9.39,
2020,SUMATERA SELATAN,9.41,
2020,BENGKULU,7.15,
2020,LAMPUNG,8.93,
2020,KEP. BANGKA BELITUNG,8.6,
2020,KEP. RIAU,16.32,
2020,DKI JAKARTA,16.1,
2020,JAWA BARAT,18.17,
2020,JAWA TENGAH,10.68,
2020,DI YOGYAKARTA,7.95,
2020,JAWA TIMUR,9.44,
2020,BANTEN,18.63,
2020,BALI,6.88,
2020,NUSA TENGGARA BARAT,7.26,
2020,NUSA TENGGARA TIMUR,6.92,
2020,KALIMANTAN BARAT,10.28,
2020,KALIMANTAN TENGAH,7.91,
2020,KALIMANTAN SELATAN,8.41,
2020,KALIMANTAN TIMUR,13.59,
2020,KALIMANTAN UTARA,10.68,
2020,SULAWESI UTARA,12.71,
2020,SULAWESI TENGAH,6.7,
2020,SULAWESI SELATAN,12.01,
2020,SULAWESI TENGGARA,7.68,
2020,GORONTALO,7.57,
2020,SULAWESI BARAT,5.71,
2020,MALUKU,14.28,
2020,MALUKU UTARA,9.24,
2020,PAPUA BARAT,13.58,
2020,PAPUA BARAT DAYA,,
2020,PAPUA,7.7,
2020,PAPUA SELATAN,,
2020,PAPUA TENGAH,,
2020,PAPUA PEGUNUNGAN,,
2021,ACEH,12.6,
2021,SUMATERA UTARA,12.34,
2021,SUMATERA BARAT,13.19,
2021,RIAU,9.38,
2021,JAMBI,9.85,
2021,SUMATERA SELATAN,10.15,
2021,BENGKULU,7.37,
2021,LAMPUNG,9.23,
2021,KEP. BANGKA BELITUNG,10.07,
2021,KEP. RIAU,20.03,
2021,DKI JAKARTA,17.01,
2021,JAWA BARAT,18.74,
2021,JAWA TENGAH,11.91,
